modelo,threshold,precision,recall,f1
Logistic Regression,0.23,0.3385201832551403,0.6723117029301295,0.45030451446652076
Logistic Regression,0.24,0.34311805092893644,0.6722999777221047,0.4543513143632264
Logistic Regression,0.25,0.3791922630833888,0.6721240996017338,0.48484788674968593
Logistic Regression,0.26,0.3946921994476876,0.6719990307161366,0.4973000019780161
Logistic Regression,0.27,0.40850004039943155,0.6718387862064653,0.5080742532304807
Logistic Regression,0.28,0.41765889408357065,0.6717762517636667,0.5150803651359488
Logistic Regression,0.29,0.4369224511585932,0.6717371677369176,0.529462866389713
Logistic Regression,0.3,0.46044188918745865,0.6717176257235431,0.5463663529527586
Logistic Regression,0.31,0.4716396443873532,0.671588648435271,0.5541287480085703
Logistic Regression,0.32,0.48431566572789014,0.6714440375362993,0.5627309294342908
Logistic Regression,0.33,0.49700280047214573,0.6714323123282746,0.5711977256936145
Logistic Regression,0.34,0.4996189866790763,0.6713815030935008,0.5729031698136189
Logistic Regression,0.35000000000000003,0.5031321418107237,0.6711469989330061,0.5751198591510023
Logistic Regression,0.36,0.5128463250339791,0.6710062964367093,0.5813614075469266
Logistic Regression,0.37,0.5172897984765211,0.6709711208126351,0.5841924281195053
Logistic Regression,0.38,0.5193016318652395,0.6708812275511121,0.5854389743045383
Logistic Regression,0.39,0.5211482701562097,0.6708695023430874,0.5866061541754959
Logistic Regression,0.4,0.523113917723718,0.670842143524363,0.5878388212661345
Logistic Regression,0.41000000000000003,0.5260921809286756,0.6707835174842394,0.5896919188563238
Logistic Regression,0.42,0.5279402169229443,0.6704161276327978,0.5907084940628033
Logistic Regression,0.43,0.5301021228193811,0.6703106007605751,0.5920181707541637
Logistic Regression,0.44,0.5322245773889511,0.670271516733826,0.5933241304373372
Logistic Regression,0.45,0.5341369214477045,0.6702519747204515,0.5945028677709047
Logistic Regression,0.46,0.536222230561393,0.6701777150696282,0.5957629400081181
Logistic Regression,0.47000000000000003,0.5385888753470957,0.6701464478482289,0.5972083626718725
Logistic Regression,0.48,0.5414816545921944,0.6701269058348543,0.5989746813943939
Logistic Regression,0.49,0.5437411185546082,0.6699862033385575,0.6002980093110464
Logistic Regression,0.5,0.54575267447784,0.6699393025064586,0.6015029678119946
Logistic Regression,0.51,0.5474173725294802,0.6698689512583103,0.6024842209115379
Logistic Regression,0.52,0.5490917945908189,0.6697868748021372,0.6034636363461392
Logistic Regression,0.53,0.5510123345608928,0.6695797294603668,0.6045372581874409
Logistic Regression,0.54,0.553106503621375,0.6694742025881443,0.6057522968377199
Logistic Regression,0.55,0.554625168376334,0.6694546605747697,0.6066539044752155
Logistic Regression,0.56,0.5581984366545188,0.6692865992597485,0.6087157438492289
Logistic Regression,0.5700000000000001,0.5603161098203475,0.66922406481695,0.609946762701773
Logistic Regression,0.58,0.5618199477614879,0.6691888891928758,0.6108220435988735
Logistic Regression,0.59,0.5632398712895393,0.6690794539179783,0.611614567373917
Logistic Regression,0.6,0.5645172460417704,0.6690325530858793,0.6123472511880889
Logistic Regression,0.61,0.566223489597634,0.6689700186430808,0.6133233956210128
Logistic Regression,0.62,0.5686247798783932,0.6688801253815578,0.6146914043132475
Logistic Regression,0.63,0.5741854300191269,0.6687785069120101,0.6178825678499192
Logistic Regression,0.64,0.5757866429722971,0.6686338960130385,0.6187465639964576
Logistic Regression,0.65,0.57729484903508,0.6685283691408158,0.6195710246481327
Logistic Regression,0.66,0.5788184091809004,0.6684580178926675,0.6204170913381808
Logistic Regression,0.67,0.5807766653870587,0.668172704497399,0.6214168877405831
Logistic Regression,0.68,0.5824913185865739,0.6680554524171516,0.6223461774627863
Logistic Regression,0.6900000000000001,0.5839902412022183,0.6679851011690032,0.6231700691184201
Logistic Regression,0.7000000000000001,0.5852039138299622,0.6676098945122118,0.6236967066414443
Logistic Regression,0.71,0.5873669874330208,0.6674926424319645,0.624871711794425
Logistic Regression,0.72,0.5887234974260307,0.6673245811169434,0.6255646865651536
Logistic Regression,0.73,0.5900823817771371,0.667121344177848,0.6262414651634794
Logistic Regression,0.74,0.5916062963181312,0.6667539543264064,0.6269362644618262
Logistic Regression,0.75,0.593041899548207,0.6664295569043888,0.6275976296016108
Logistic Regression,0.76,0.5944374492070191,0.6660973426770214,0.62823050632547
Logistic Regression,0.77,0.5958719095305076,0.6655970671346327,0.6288075294383714
Logistic Regression,0.78,0.5973717287045425,0.6650029899280463,0.6293756992944938
Logistic Regression,0.79,0.5993564099943254,0.66462387486858,0.6303050520276751
Logistic Regression,0.8,0.6024593215591304,0.6640806068967674,0.6317709262396061
Logistic Regression,0.81,0.6056637420643413,0.6637093086426509,0.6333593788837516
Logistic Regression,0.8200000000000001,0.6095487058688346,0.6634591708714566,0.6353624142613892
Logistic Regression,0.8300000000000001,0.6136738711872258,0.6627204827658985,0.6372548466429352
Logistic Regression,0.84,0.6184720630215597,0.6621733063914109,0.6395770454976925
Logistic Regression,0.85,0.6208088159767569,0.6614189846751531,0.6404708063574075
Logistic Regression,0.86,0.6234264264485726,0.6608014570525172,0.6415700768107994
Logistic Regression,0.87,0.6267063151759495,0.6597930891623902,0.6428242318045109
Logistic Regression,0.88,0.6300813008130082,0.6585072246823446,0.6439807284965814
Logistic Regression,0.89,0.6332796657780727,0.656431862861967,0.6446479564704201
Logistic Regression,0.9,0.6376393058393355,0.6549896622749248,0.6461980411314695
Logistic Regression,0.91,0.6419675208283651,0.652312406442611,0.6470986214244498
Logistic Regression,0.92,0.6447626359664678,0.6466022301345663,0.6456811227175785
Logistic Regression,0.93,0.6475957839972718,0.6382890576450311,0.642908741567313
Logistic Regression,0.9400000000000001,0.6505743501413132,0.6288698071984961,0.6395379802434271
Logistic Regression,0.9500000000000001,0.6530148459418476,0.6176917755482512,0.6348623557882159
Logistic Regression,0.96,0.6578353147353965,0.6103088028953447,0.6331814780750132
Logistic Regression,0.97,0.6585963622358769,0.5881520681312754,0.6213840788516174
Logistic Regression,0.98,0.65263870158308,0.5428380475183597,0.5926959578911565
Logistic Regression,0.99,0.6385085475837933,0.4634857480096459,0.5370982643811318
Logistic Regression,1.0,0.10767543859649123,0.0019190257133811983,0.0037708462097772034
